ID;NumberZ;Shifr;Napr;Prof;Uroven;FormaOb;Fin;Zach;Sogl
E02018EE-FB58-4E50-8D90-2D1618A3019F;2403;38.00.01;Экономическая безопасность;;Специалитет;Очная форма;С оплатой обучения;1;1
4FC7BA12-F363-4C26-8C63-51AEA9344C03;698;38.00.05;Бизнес-информатика;;Бакалавриат;Очная форма;С оплатой обучения;0;0
4FC7BA12-F363-4C26-8C63-51AEA9344C03;698;38.00.02;Менеджмент;;Бакалавриат;Очная форма;С оплатой обучения;0;0
42AFEDC1-69DA-43AB-A10E-1991A91237C9;535;45.00.02;Лингвистика;;Бакалавриат;Очно-заочная (вечерняя);С оплатой обучения;0;0
42AFEDC1-69DA-43AB-A10E-1991A91237C9;535;44.00.05;Педагогическое образование (с двумя профилями подготовки);Физическая культура и безопасность жизнедеятельности;Бакалавриат;Очная форма;Бюджетные места;0;0
4FC7BA12-F363-4C26-8C63-51AEA9344C03;698;38.00.02;Менеджмент;;Бакалавриат;Очная форма;Бюджетные места;0;0
3B6A3284-27AD-4935-A7EE-BBD957D9E921;558;43.00.10;Туризм;;СПО;Очная форма;С оплатой обучения;0;0
42AFEDC1-69DA-43AB-A10E-1991A91237C9;535;44.00.05;Педагогическое образование (с двумя профилями подготовки);Иностранные языки;Бакалавриат;Очная форма;С оплатой обучения;0;0
42AFEDC1-69DA-43AB-A10E-1991A91237C9;535;44.00.05;Педагогическое образование (с двумя профилями подготовки);Иностранные языки;Бакалавриат;Очная форма;Бюджетные места;0;0
3B6A3284-27AD-4935-A7EE-BBD957D9E921;558;54.00.01;Дизайн;;СПО;Очная форма;С оплатой обучения;0;0
E7FEE40F-F581-4D59-91E5-7668DD554855;135;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
BCA823A7-3F0C-41A5-89D7-E6C6FC647CCA;354;38.00.02;Менеджмент;;Магистратура;Очно-заочная (вечерняя);С оплатой обучения;1;1
E7FEE40F-F581-4D59-91E5-7668DD554855;135;03.00.02;Физика;;Бакалавриат;Очная форма;Бюджетные места;1;1
C2817D14-CBAA-4806-B134-1D3487214046;753;38.00.01;Экономика;;Бакалавриат;Очная форма;С оплатой обучения;0;0
C2817D14-CBAA-4806-B134-1D3487214046;753;44.00.05;Педагогическое образование (с двумя профилями подготовки);Начальное образование и организатор детского движения;Бакалавриат;Очная форма;Бюджетные места;0;0
C50077EF-E35A-4C13-B367-F9BB77874F0F;1985;29.00.04;Технология художественной обработки материалов;;Бакалавриат;Очная форма;Бюджетные места;1;1
C50077EF-E35A-4C13-B367-F9BB77874F0F;1985;15.00.05;Конструкторско-технологическое обеспечение машиностроительных производств;;Бакалавриат;Очная форма;Бюджетные места;0;0
C50077EF-E35A-4C13-B367-F9BB77874F0F;1985;29.00.05;Конструирование изделий легкой промышленности;;Бакалавриат;Очная форма;Бюджетные места;0;0
C2817D14-CBAA-4806-B134-1D3487214046;753;38.00.02;Менеджмент;;Бакалавриат;Очная форма;Бюджетные места;0;0
F000D9E5-158C-49B5-A977-15669C0F9F1B;144;04.00.01;Химия;;Магистратура;Очная форма;Бюджетные места;0;0
144E94F8-D214-42A7-B2EA-813B7DBCBA71;1073;44.00.05;Педагогическое образование (с двумя профилями подготовки);Русский язык и литература;Бакалавриат;Заочная форма;Бюджетные места;1;1
