X;Psi;Regions;Industries
0.004550458085966596;0.011776015500854942;Liaoning;TransEq
0.002979912882158917;0.00700581538301028;Liaoning;Electri
0.0007393318786313022;0.0023160807691221014;Liaoning;Computers
0.00031872622817520754;0.0011508096781565637;Liaoning;Instru
0.0010187330760555219;0.0016991048942735713;Liaoning;OtherManu
0.00871943690187261;0.01352599205619892;Liaoning;ElectriH
0.0001678554310838899;0.0007502177803425423;Liaoning;WaGaS
6.536647020802076e-05;0.0015310676199058785;Liaoning;Building
0.004857863574945017;0.011265849638313088;Liaoning;Trans 
0.00310914966611933;0.013115345810370539;Liaoning;Wholes
0.001013053329467523;0.0051411196115296095;Liaoning;Acconm
0.0013643134309992812;0.003695567863846942;Liaoning;Rental
0.0002044074260405112;0.0004353269668818224;Liaoning;ScienceTec
0.003295242045266268;0.013417720762232846;Liaoning;Ohters
0.0037678205829580393;0.011629807806468813;Jilin;Agri
0.001138575806422874;0.0018194500102969669;Jilin;CoalM
0.0021423975102149084;0.00344842070459969;Jilin;OilgasM
0.00044978750565870533;0.0006287553406331127;Jilin;MetalM
0.00034845113812915807;0.0005063220920808168;Jilin;NonMeM
0.0016264503092000531;0.00612397725761364;Jilin;Food
0.0002499544391970243;0.00036595222666238315;Jilin;Tex
7.662882001718373e-05;0.00018681268723168385;Jilin;Cloth
0.0007060774723864216;0.0016364429020341938;Jilin;Wood
0.00045749375274094077;0.0010210898870531382;Jilin;Paper
0.0012468028371451587;0.003787893653788398;Jilin;Fuel
0.004743374216036758;0.015225765385701322;Jilin;Chemi
0.0014303959480112553;0.0023258403857296934;Jilin;NonMeP
0.0041932686700415075;0.00532534485650842;Jilin;MeSme
0.0005961746609614895;0.0014695430085800286;Jilin;MetaInd
0.0009020969464269094;0.001919014661801866;Jilin;GnerSep
0.009753635833376365;0.015218799405651576;Jilin;TransEq
0.0001391129930228335;0.0003219037897995569;Jilin;Electri
0.00017512993183015923;0.00036644473644142456;Jilin;Computers
7.184929231154487e-06;2.639628501243673e-05;Jilin;Instru
0.00011324583944605263;0.00021477389674674234;Jilin;OtherManu
0.0019638071397979047;0.0037787000076773937;Jilin;ElectriH
5.650801826914349e-05;0.0004079385481904161;Jilin;WaGaS
5.225960720946658e-05;0.0004642739690143648;Jilin;Building
0.00046080074305156215;0.004918751279597358;Jilin;Trans 
-0.00012531831738911924;0.0015214903418541603;Jilin;Wholes
0.0003738804532108182;0.00148162578620855;Jilin;Acconm
0.0007352554991074778;0.002285048246276543;Jilin;Rental
0.00014967975763829772;0.0002250418559355332;Jilin;ScienceTec
0.002051105339451367;0.006546962424791895;Jilin;Ohters
0.00668732129589116;0.014035540997014043;Hei Longjiang;Agri
0.002112145592834707;0.0038066791451532174;Hei Longjiang;CoalM
0.010775755019992133;0.014960887591957808;Hei Longjiang;OilgasM
0.0003212574628325322;0.000419198996665983;Hei Longjiang;MetalM
0.0002871607271219135;0.0004306193356608197;Hei Longjiang;NonMeM
0.0024190871307778576;0.005791184310029118;Hei Longjiang;Food
0.0002310293341567627;0.00039843886203017525;Hei Longjiang;Tex
0.00011091922271055005;0.0004294283962549287;Hei Longjiang;Cloth
0.0005323148247357615;0.0008343556516319007;Hei Longjiang;Wood
0.0008057591843994268;0.0014563314343161145;Hei Longjiang;Paper
0.003142798384677307;0.01191718707890729;Hei Longjiang;Fuel
0.004192255295552058;0.009731460582250964;Hei Longjiang;Chemi
0.0008582507369861766;0.0018226406664254345;Hei Longjiang;NonMeP
0.002729999676480585;0.003973644512709769;Hei Longjiang;MeSme
0.0005148045295293349;0.0017418272079604191;Hei Longjiang;MetaInd
0.00414857239547567;0.0069521850740910055;Hei Longjiang;GnerSep
0.0010407426832592444;0.003046315785034717;Hei Longjiang;TransEq
0.0016244898907173818;0.002668422570897481;Hei Longjiang;Electri
0.00013912218371469858;0.0003270553794703186;Hei Longjiang;Computers
0.0002530828525112962;0.0005007438554658611;Hei Longjiang;Instru
0.00028438566006621746;0.0004599746313773292;Hei Longjiang;OtherManu
0.004923522138222389;0.009233911495027088;Hei Longjiang;ElectriH
0.0002739501997493176;0.0007716043109281331;Hei Longjiang;WaGaS
0.00013626157912038656;0.0009867755544622954;Hei Longjiang;Building
0.002640167827473751;0.006931462737171165;Hei Longjiang;Trans 
0.00193394368829276;0.006059867500914533;Hei Longjiang;Wholes
0.0008503127958596866;0.0020480418844381868;Hei Longjiang;Acconm
0.0010583581662385992;0.0023232870378375936;Hei Longjiang;Rental
0.00016033443741835426;0.0002946423868557052;Hei Longjiang;ScienceTec
0.0020995458439550902;0.007924160469878748;Hei Longjiang;Ohters
0.0010335920787933205;0.0015527807074944442;Shanghai;Agri
0.0;0.0;Shanghai;CoalM
7.471585188575338e-05;0.000192154080977334;Shanghai;OilgasM
0.0;0.0;Shanghai;MetalM
0.0;0.0;Shanghai;NonMeM
0.0022090834254165906;0.006068541631775416;Shanghai;Food
0.0014257688006484792;0.0028690860825475524;Shanghai;Tex
0.00045512817150326695;0.004030660133605294;Shanghai;Cloth
0.0003969033872942246;0.0021665254557391676;Shanghai;Wood
0.0015891031497861567;0.0055528346565988955;Shanghai;Paper
0.0029919495965323615;0.012473029069154894;Shanghai;Fuel
0.009874558741309105;0.03215998225035837;Shanghai;Chemi
0.0035819479156366215;0.0049553914531314455;Shanghai;NonMeP
0.009186707871568167;0.019702733707775588;Shanghai;MeSme
0.002183009166063335;0.014620836833435069;Shanghai;MetaInd
0.0030686243756045764;0.01644526624316594;Shanghai;GnerSep
0.0037945730120609133;0.015872286657270192;Shanghai;TransEq
0.0020072145397490096;0.01244230074669625;Shanghai;Electri
0.003699097606812835;0.019758310539480135;Shanghai;Computers
0.0005142502571854026;0.0029107470713751675;Shanghai;Instru
0.0004868845832099575;0.0016265641748171823;Shanghai;OtherManu
0.004750799914887288;0.009541230137675027;Shanghai;ElectriH
0.0005275792769424283;0.0013864890199982115;Shanghai;WaGaS
0.0012057565661738106;0.004661924912250674;Shanghai;Building
0.005306397117612656;0.025753066360633948;Shanghai;Trans 
0.005078017502059436;0.015183601991580604;Shanghai;Wholes
0.0005019007969338295;0.0051044346539098565;Shanghai;Acconm
0.00670465510871274;0.01648445596136659;Shanghai;Rental
0.00018849249087827248;0.0007464568182754514;Shanghai;ScienceTec
0.01468763522039545;0.046439147360944615;Shanghai;Ohters
0.014437962140944748;0.02257425247649661;Jiangsu;Agri
0.0011976000964002218;0.003362375120438973;Jiangsu;CoalM
7.647994160635847e-05;0.0003412400756896094;Jiangsu;OilgasM
7.716914622108047e-05;0.00027539633571253136;Jiangsu;MetalM
0.0008332026490516132;0.0024610188961510684;Jiangsu;NonMeM
0.006547573821921908;0.015942854571126847;Jiangsu;Food
