"ID";"Diplom";"Org";"DataV";"longitude";"latitude"
"855b9d70-7b83-46ac-bf71-bc8c2495d39a";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №35";2017;"57.784588";"40.944429"
"ab786bde-8e20-41eb-af1e-fa103b671731";"Аттестат о среднем (полном) общем образовании";"Судиславская средняя общеобразовательная школа";2017;"57.8803724";"41.7142387"
"33f16b83-9743-4e21-a198-53241aa9b2ae";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 6"" городского округа город Шарья Костромской области";2017;"58.3801628";"45.5023053"
"ea28a500-545d-4cc9-9876-ca895ef3f8c1";"Аттестат о среднем (полном) общем образовании";"муниципальное казенное общеобразовательное учреждение ""Парфеньевская срелняя общеобразовательная школа"" Парфеньевского  муниципального района Костромской области";2017;"58.479054";"43.401197"
"40c794be-e71e-4360-a247-03800ed35c1b";"Диплом о среднем профессиональном образовании";"Областное государственное бюджетное профессиональное образовательное учреждение ""Костромской колледж бытового сервиса"" г.Кострома";2017;"57.752820";"40.994959"
"5474b9ca-783c-4790-9f7d-7505eba5a7f6";"Диплом о высшем профессиональном образовании";"ФГБОУ ВО ""Костромской государственный университет"" г. Кострома";2017;"57.759585";"40.942468"
"66257ee9-9b18-41b5-a850-839cc7a77188";"Аттестат о среднем (полном) общем образовании";"Лицей №3 города Галича Костромской области";2017;"58.377367";"42.3699981"
"268d7f57-7649-4a56-a4b6-fe96c3c930e6";"Аттестат о среднем (полном) общем образовании";"средняя общеобразовательная школа №2 городского округа город Волгореченск Костромской области";2017;"57.4385868";"41.1591143"
"f7b5e372-f183-40f9-b104-b6aa4a312aec";"Аттестат о среднем (полном) общем образовании";"Муниципальное казённое общеобразовательное учреждение Костромского района Костромской области ""Караваевская средняя общеобразовательная школа""";2017;"57.734991";"41.063034"
"20e34487-0604-429a-8f57-9c53dbe1dd89";"Диплом о высшем профессиональном образовании";"Федеральное государственное казенное военное образовательное учреждение высшего профессионального образования ""Рязанское высшее воздушно-десантное командное училище (военный институт) имени генерала армии В. Ф. Маргелова""";2014;"54.6312079";"39.7337389"
"9f1b4bd8-093d-485a-8d8e-420289e3ab55";"Аттестат о среднем (полном) общем образовании";"Лицей № 17 города Костромы";2017;"57.7352105";"41.007861"
"20ad7757-842b-43f7-a08b-4a00e51b4601";"Диплом о высшем профессиональном образовании";"Костромской государственный университет имени Н.А. Некрасова";1992;"57.759585";"40.942468"
"ba571426-ca2c-4772-a370-9d9d130d1f9f";"Диплом о высшем профессиональном образовании";"Саратовская государственная юридическая академия";2017;"51.518032";"46.021093"
"b276fcef-ff2c-4eb8-912a-74d7764de032";"Диплом о среднем профессиональном образовании";"ГОУ СПО ""Магнитогорский государственный профессионально-педагогический колледж""";2005;"53.407282";"58.956353"
"798e2409-5fcb-4925-a22f-43160ad912bc";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 10";2017;"57.7783214";"40.8892498"
"0ba58bf2-22a7-42af-875b-69b2a984f50b";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа № 25 города Череповца Вологодской области";2017;"59.131811";"37.940518"
"201878c1-ba49-4434-8bed-5627c3b4e07d";"Аттестат о среднем (полном) общем образовании";"ЛИЦЕЙ №41";2017;"57.745718";"41.002706"
"51ea97e4-afa6-4489-ae60-4319c36e2b34";"Диплом о высшем профессиональном образовании";"КОСТРОМСКОЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ";2017;"57.759585";"40.942468"
"f81d1bc0-6ca3-454e-bd58-064d19661cdc";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 21";2017;"57.7393158";"40.9095164"
"59304a61-a4f9-4186-b447-532b6d6b637a";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №21";2017;"57.7393158";"40.9095164"
"23be593c-cb87-44b0-9d24-5e70e72650fa";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 31 города Костромы";2017;"57.7553266";"40.901683"
"93d060f7-a426-4a25-954a-0943d82893ed";"Аттестат о среднем (полном) общем образовании";"муниципальное автономное общеобразовательное учреждение""Средняя общеобразовательная школа № 12"" города Соликамска Пермского края";2017;"59.640937";"56.756355"
"9716d465-abfd-4a18-b2fb-05d75707fdde";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №30";2017;"57.764766";"40.939824"
"1b0b5d67-ce96-4646-86d3-09b59fa3c6dd";"Аттестат о среднем (полном) общем образовании";"Средняя школа №1 города Фурманова";2017;"57.265819";"41.115408"
"9c4d6ed6-d1ee-4d26-99a7-7c532a14ffd9";"Диплом о высшем профессиональном образовании";"Санкт-Петербургский государственный университет промышленных технологий и дизайна";2016;"59.9348817";"30.3160805"
"67974dce-e13c-4dac-bfd9-86d029b7f571";"Аттестат о среднем (полном) общем образовании";"муниципальное бюджетное общеобразовательное учреждение города Костромы ""Средняя общеобразовательная школа № 6""";2017;"57.750287";"40.917704"
"c81e5920-1de9-43bd-8762-df27f544c99f";"Аттестат о среднем (полном) общем образовании";"Муниципальное бюджетное общеобразовательное учреждение лицей авиационного профиля № 135 городского округа Самара";2013;"53.223375";"50.263225"
"78c452e3-a9ef-445e-afec-4af69b34f375";"Аттестат о среднем (полном) общем образовании";"СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА №3";2017;"57.7457514";"40.9682965"
"c220ceaf-3499-43a9-ac0e-776955d29015";"Аттестат о среднем (полном) общем образовании";"Кировское областное ОАУ ""Просницкий лицей""";2017;"58.435866";"50.250848"
"dae1e075-974f-4451-a201-6967a29ab606";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа № 30";2014;"57.764766";"40.939824"
"bc562cee-e400-46b4-b109-122d66db8705";"Диплом о высшем профессиональном образовании";"Костромской государственный университет";2017;"57.759585";"40.942468"
"2b1802df-6d26-4ade-a79b-a67a65ec84de";"Аттестат о среднем (полном) общем образовании";"Средняя общеобразовательная школа №5";2017;"57.756802";"40.952191"
"d5fba0af-d499-4946-99ef-942e7425b1ce";"Аттестат о среднем (полном) общем образовании";"МБОУ города Костромы ""Гимназия №33""";2017;"57.7363374";"40.9163406"
"00e2d1c0-3a7a-4d4b-832c-53c60f750824";"Аттестат о среднем (полном) общем образовании";"Лицей №17";2017;"57.7352105";"41.007861"
